업소명,위생등급제 가게,재방문률이 높은,최근에 자주가는,맛있는,가성비,깔끔하고 분위기가 좋은,신선한,친절한,혼밥,칠암동,가좌동
신전떡볶이진주1호점,,,,,,,,,,,1
신참떡볶이,,,,,,,,,,,1
싱싱푸르츠진주점,,,,,,,,,,,1
쌈싸먹는김치찌개강남식당,,1,,,,,,,,,
써브웨이 진주경상대 칠암캠퍼스점,,,1,,,,,,,1,
써브웨이진주경상대점,,1,,,,,,,,,1
썰스티(Thirsty),,,,,,1,,,,,1
씨유 신진주프리미어웰가점(CU 신진주프리미어웰가점),,,,,,,,,,,1
씨유 진주칠암원룸점,,,,,,,,,,1,
씨유(CU) 진주경상대점,,,,,,,,,,,1
씨유가좌주공점,,,,,,,,,,,1
씨유경대후문점,,,,,,,,,,,1
씨유신진주줌시티점,,,,,,,,,,,1
씨유신진주줌테라스점,,,,,,,,,,,1
씨유의대칠암점,,,,,,,,,,1,
씨유진주가좌원룸점,,,,,,,,,,,1
씨유진주강남로점,,,,,,,,,,1,
씨유진주더퍼스트웰가점,,,,,,,,,,,1
씨유진주센트럴웰가점,,,,,,,,,,,1
씨유진주아주스타점,,,,,,,,,,1,
씨유진주칠암플러스점,,,,,,,,,,1,
씨유진주칠암현대점,,,,,,,,,,1,
씨유진주한화포레나점,,,,,,,,,,,1
아마스빈,,,,,,,,,,,1
아몽즈커피 진주칠암점,,,,,,,,,,1,
아무튼디저트,,,,,,,,,,,1
아미식당,,,,,,,,,,1,
아버브런치앤커피(ARBOUR Brunch & Coffee),,,,1,,1,,,,,1
아스라이 경상대점,,,1,1,,1,,1,,,1
아싸요우 진주경상대점,,,,,,,,,,,1
아웃닭경상대점,,,1,,,1,,,,,1
아타토커피,,,,,,,,,,1,
안녕 그루담,,,,,,,,,,1,
안동선계찜닭 경상대점,,,,,,,,,,,1
알로하스시어나더(ALOHA SUSHI ANOTHER),,,,,,,,,,1,
알차네식당,,,,,,,,,,,
알통떡강정,,,,,,,,,,,1
야채오리,,,,,,,,,,1,
양반의체면,,,,,,,,,,1,
양자강,,,,,,,,,,1,
양철집,,,,,,,,,,,1
어니언스치킨,,,,,,,,,,,1
어머니와고등어,,,,,,,,,,1,
어복정,,,,,,,,,,,
언양닭칼국수,,,,,,,,,,,1
엄마국수,,,,,,,,,,1,
엄마네식당,,,,,,,,,,,
엄마손식당,,,,,,,,,,,
엄마손팥칼국수,,,,,,,,,,,1
업텐브로진주경상대점,,,,,,,,,,,1
에그드랍진주경상대점,,,,,,,,,,,1
에그드랍진주칠암점,,,,,,,,,,1,
에나주스,,1,,,,,,,,,1
에바돈카츠경상대점,,,,,,,,,,,1
엠스에스프레소커피(M's Espresso coffee),,,,,,,,,,1,
역전소여사황제대패,,1,,1,,,,,,,1
역전할머니맥주 진주역점,,,,,,,,,,,1
역전할머니맥주경상대점,,,,,,,,,,,1
역전할머니맥주과기대점,,,,,,,,,,1,
연놀부석쇠불고기정식,,,,,,,,,,,1
연어가게,,,,,,,,,,1,
연우담,,1,,,,,,,,1,
연이네촌국수,,,,,,,,,,,
연주네밥상,,1,,,,,,,,1,
연회집,,,1,1,,1,,1,,1,
염천교식당,,,,,,,,,,,1
영빈가든진주 본점,,,,,,,,,,1,
영은식당,,,,,,,,,,,
오꾸닭산업대점,,,,,,,,,,1,
오늘김해뒷고기경상대점,,,,,,,,,,,1
오늘도대게횟집,,,,,,,,,,,
오늘의 양푼집,,,,,,,,,,,1
오늘의케이크,,,,,,,,,,,1
오다가다,,,1,1,,,,1,,,1
오닭꼬치 신진주역점,,,,,,,,,,,1
오디티(Ordinary DownTown),,,,,,,,,,,1
오복이네,,,,,,,,,,1,
오봉도시락과기대점,,,,,,,,,,1,
오사장횟집,,,,,,,,,,1,
오오토리스시,,,,,,,,,,,1
오유케이크,,,,,,,,,,1,
오코스 진주칠암본점,,,1,1,,1,,1,,1,
오해피데이,,,,,,,,,,,
오후의홍차,,,,,,,,,,1,
옥돌우동,,,,,,,,,,,
옥천식당,,,,,,,,,,1,
온어스경상대학교점,,1,,,,,,,,,1
올라,,,,,,,1,,,1,
와플대학진주경상대캠퍼스,,,,,,,,,,,1
와플칸과기대점,,,,,,,,1,,1,
왕우동,,,,,,,,,,1,
요거프레소진주강남점,,,,,,,,,,,
요맘꼬마김밥 진주역점,,,,,,,,,,,1
욜로,,,1,1,1,1,,1,,,1
용우동,,,,,,,,,,,1
용우동진주산업대점,,,,,,,,,,1,
용팔이밀면,,,,,,,,,,,1
우두두,,1,1,1,,1,,,,1,
우리돼지나라,,,,,,,,,,1,
우리식당,,,,,,,,,,,
우리엄마식당,,,,,,,,,,,1
우심방,,,,,,,,,,1,
우이동불고기,,,,,,,,,,1,
우주라이크커피 진주칠암점,,,,,,,,,,1,
울엄마부대찌개,,,,,,,,,,,1
원정숯불닭바베큐,,,,,,,,,,,
원조부안집 진주역점,,,,1,,,,1,,,1
월하주,,,1,1,,1,,1,,,1
웰가커피,,,,,,,,,,,1
유커피(U Coffee),,,,,,,,,,,
육거리곰탕,,,,,,,,,,,
육거리회향어,,,,,,,,,,,
육수당 진주점,,,,,,,,,,,1
은성게장플러스,,,,,,,,,,1,
은지네반점,,,,,,,,,,1,
의령돼지국밥,,,,,,,,,,1,
이너웨이브,,,,,,,,,,1,
이대감자탕,,,,,,,,,,1,
이디야 신진주역점,1,,1,,,,,,,,1
이디야진주개양오거리점,1,,,,,,,,,,1
이디야커피강남점,,,,,,,,,,,
이디야커피경남과기대점,1,,,,,,,,,1,
이마트24 R경상대센터점,,,,,,,,,,,1
이마트24R진주과기대점,,,,,,,,,,1,
이삭토스트과기대점,,,1,,,,,,,1,
이서방짬뽕,,,,,,,,,,,1
울엄마왕돈까스,,,,,,,,,,,1
이정식당,,,,,,,,,,1,
이추네,,,,,,,,,,1,
인쌩맥주 진주역점,,,,,,,,,,,1
인터피아피시방(인터피아PC방),,,,,,,,,,,1
일미횟집,,,,,,,,,,1,
일본라멘전문점 류헤이,,,,,,,,,,,1
일일수작 진주경상대점,,,,,,,,,,,1
임실치즈피자가호점,,,,,,,,,,,1
자담치킨앤호프가호점,,,,,,,,,,,1
자연담은이야기,,,,,,,,,,1,
장모님치킨,,,,,,,,,,1,
장미꽃 떡볶이앤라면,,,,,,,,,,,1
장미맨숀진주경상대점,,,,,,,,,,,1
장산방,,,1,1,,,,1,,,1
장원쌈밥,,,,,,,,,,,
저스트텐동 진주점(Just tendong 진주점),,,1,1,,,,,,1,
전복해장국,,,,,,,,,,,1
정촌쌈김치찌개 2호점,,,,,,,,,,,1
제로(ZERO),,,,,,,,,,1,
제이제이카파로스터스예술회관점,,,,,,,,,,1,
제주목장원,,,,,,,,,,1,
제주옥탑 진주역점,,,1,1,,1,,1,,,1
조문정국수집,,,,,,,,,,1,
조선돼지국밥,,,,,,,,,,1,
조커닭(본점),,,1,1,1,,,1,,,1
족발깡패,,,,,,,,,,1,
족발신선생가좌점,,,,,,,,,,,1
존가네(진주점),,,,,,,,,,1,
종국이두마리치킨,,,,,,,,,,,1
주가네흑돈,,,,,,,,,,,1
주공죽집,,,,,,,,,,,1
주구장창,,,,,,,,,,,1
주당,,,,,,,,,,,1
주식회사 오지버거경상대점,,,,,,,,,,,1
죽이야기,,,,,,,,,,1,
줄라이세컨드,,,,,,,,,,,1
줄리의주방,,,,,,,,,,1,
중국집,,,,,,,,,,,
중앙도서관카페(도서관카페),,,,,,,,,,,1
쥬씨(juicy)칠암점,,,,,,,,1,,1,
지니,,1,,,,,,,,,1
지리산촌옻닭,,,,,,,,,,,
지에스(GS)25진주세무서점,,,,,,,,,,1,
지에스(GS)25진주칠암점,,,,,,,,,,1,
지에스25 경상대의대점,,,,,,,,,,1,
지에스25 진주이주단지점,,,,,,,,,,,1
지에스25 칠암중앙점,,,,,,,,,,1,
지에스25 칠암한주점,,,,,,,,,,1,
지에스25가좌중앙점,,,,,,,,,,,1
지에스25기숙사후문점,,,,,,,,,,,1
