rest,Rest_id,alone,date,delicious,fresh,goodValue,hygiene,kindness,many,mood,parking,recent
반천촌국수본점,G180,0,0,120,0,0,21,25,0,0,0,0
밥꼬찜닭 진주호탄DV점,G181,61,0,354,66,348,0,0,0,0,0,0
밥스토랑 진주 더뷰 칠암점,C92,0,0,9,0,3,0,1,0,0,0,0
배건네초밥,G182,0,0,0,0,0,0,0,0,0,0,0
배스킨라빈스 경상대점,G183,5,0,10,7,4,2,4,0,0,0,2
배스킨라빈스 신진주역,G184,0,0,297,0,0,0,143,0,0,0,91
배스킨라빈스 진주과학기술대,C93,0,0,22,7,8,0,5,0,0,0,0
백가네대구막창 칠암점,C94,0,0,31,20,21,0,15,0,0,0,0
백번집,G185,17,0,70,58,112,1,27,16,0,3,5
백세돼지국밥,G186,3,4,335,227,305,1,166,262,13,49,39
백조품은오리,C95,0,0,0,0,0,0,0,0,0,0,0
백종원의 빽보이피자 진주가좌점,G187,0,0,413,253,157,0,144,0,132,0,0
백초밥 진주점,G188,11,0,28,5,17,0,11,2,1,1,1
뱃사람칼국수와수제비,G189,121,0,411,96,0,0,100,89,0,0,0
버거킹 진주경상대점,G190,0,0,62,0,0,0,16,0,11,0,0
버터솝,C96,0,0,238,0,0,73,75,0,68,0,0
번개포차 칠암 본점,C97,0,0,76,13,55,0,18,0,0,0,0
벌집삼겹살 진주경상대점,G191,0,0,961,339,607,0,0,269,0,0,0
범앗간 경상대점,G192,0,0,62,0,2,11,29,0,41,2,10
베럴댄하우스,G193,0,0,66,0,0,0,40,0,0,0,13
베로쿠키,G194,0,0,380,0,0,0,178,0,0,0,126
베이글델리,C98,0,0,163,0,0,0,134,0,61,0,139
베이커리925,G195,0,0,92,0,0,0,49,0,40,0,17
보교포차,C99,0,0,223,0,87,0,74,0,0,0,58
보승식당,G196,1,0,126,2,39,33,46,39,89,0,25
보애씨,C100,22,2,147,28,65,0,48,26,5,17,19
보울스 포케샐러드 진주경상대점,G197,0,0,0,0,0,0,0,0,0,0,0
복호식당,G198,576,0,2037,1890,941,0,831,0,0,0,0
본도시락 진주가좌점,G199,3,2,94,16,65,1,31,6,2,2,17
본도시락 진주경상국립대점,C101,0,0,0,0,0,0,0,0,0,0,0
본죽 진주칠암점,C102,0,0,70,36,46,0,18,0,0,0,0
본죽&비빔밥cafe 진주역점,G200,25,0,112,33,33,0,50,0,0,0,0
본토비빔밥,C103,38,0,147,47,0,0,55,0,0,0,54
봄들식당,C104,0,0,51,20,17,0,12,0,0,0,0
봄브,G201,7,1,4,0,5,0,2,1,2,0,2
봉구스밥버거 진주과기대점,C105,0,0,21,0,1,3,7,0,10,0,4
부산냉면참숯화로구이,G202,19,0,61,0,38,0,20,0,0,0,0
부산돼지국밥,G203,0,0,66,30,69,0,29,0,0,0,0
부산돼지국밥,C106,18,0,37,15,33,0,0,0,0,0,0
부산분식,C107,0,0,32,0,0,0,11,0,10,0,0
부에나비스타,G204,3,0,17,5,8,0,4,2,0,1,1
북경양꼬치,G205,4,0,4,0,1,2,5,0,11,0,3
북경양꼬치2호점,G206,0,0,223,0,94,0,77,0,0,0,0
분식쌀롱 진주가호점,G207,0,0,67,0,46,0,0,40,0,0,0
불가마떡볶이,G208,0,0,12,2,4,0,1,0,0,0,0
불꼬꼬숯불두마리닭,G209,7,0,30,4,11,0,15,2,1,1,3
불돈생돈 산업대점,C108,0,0,12,2,7,0,4,0,0,0,2
불막열삼 신진주시티가좌점,G210,0,0,141,64,143,0,61,0,0,0,0
불막열삼 진주칠암점,C109,0,0,237,73,167,0,138,0,0,0,0
불타는 연탄집,G211,0,0,137,45,47,0,69,0,0,0,40
